,index,short_name,player_positions,overall,potential,age,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year,sex
41,41,F. Alushi,RM,83,85,27,Germany,Right,81.0,79.0,77.0,87.0,29.0,56.0,14,11,14,13,9,2016,F
42,42,F. Alushi,CAM,83,85,27,Germany,Right,81.0,79.0,77.0,87.0,29.0,56.0,14,11,14,13,9,2016,F
43,43,F. Alushi,LM,83,85,27,Germany,Right,81.0,79.0,77.0,87.0,29.0,56.0,14,11,14,13,9,2016,F
44,44,Cristiane,ST,83,83,30,Brazil,Left,74.0,83.0,73.0,81.0,33.0,75.0,9,6,7,8,12,2016,F
45,45,S. Houghton,CB,83,83,27,England,Right,64.0,59.0,58.0,65.0,83.0,80.0,9,7,13,10,5,2016,F
46,46,S. Houghton,LB,83,83,27,England,Right,64.0,59.0,58.0,65.0,83.0,80.0,9,7,13,10,5,2016,F
47,47,K. Asllani,RM,83,86,25,Sweden,Right,86.0,81.0,78.0,87.0,32.0,53.0,10,10,5,9,10,2016,F
48,48,K. Asllani,ST,83,86,25,Sweden,Right,86.0,81.0,78.0,87.0,32.0,53.0,10,10,5,9,10,2016,F
49,49,L. Georges,CB,83,83,30,France,Right,79.0,44.0,57.0,61.0,84.0,76.0,15,10,10,14,13,2016,F
50,50,W. Renard,CB,83,86,24,France,Right,51.0,56.0,59.0,63.0,82.0,81.0,5,12,15,9,13,2016,F
51,51,A. Krahn,CB,82,82,30,Germany,Right,52.0,41.0,52.0,47.0,86.0,79.0,8,7,9,13,7,2016,F
52,52,S. Laudehr,RM,82,82,28,Germany,Right,86.0,79.0,79.0,77.0,79.0,78.0,5,5,14,8,8,2016,F
53,53,S. Laudehr,LM,82,82,28,Germany,Right,86.0,79.0,79.0,77.0,79.0,78.0,5,5,14,8,8,2016,F
54,54,S. Laudehr,CM,82,82,28,Germany,Right,86.0,79.0,79.0,77.0,79.0,78.0,5,5,14,8,8,2016,F
55,55,S. Laudehr,CB,82,82,28,Germany,Right,86.0,79.0,79.0,77.0,79.0,78.0,5,5,14,8,8,2016,F
56,56,S. Leroux,ST,82,88,25,United States,Left,92.0,80.0,60.0,77.0,39.0,77.0,8,6,10,7,13,2016,F
57,57,S. Leroux,RW,82,88,25,United States,Left,92.0,80.0,60.0,77.0,39.0,77.0,8,6,10,7,13,2016,F
58,58,K. O'Hara,RB,82,86,26,United States,Right,81.0,53.0,64.0,77.0,79.0,73.0,12,9,13,10,6,2016,F
59,59,K. O'Hara,RM,82,86,26,United States,Right,81.0,53.0,64.0,77.0,79.0,73.0,12,9,13,10,6,2016,F
60,60,A. Krieger,RB,82,82,30,United States,Right,76.0,60.0,76.0,72.0,81.0,81.0,12,5,6,12,9,2016,F
61,61,A. Krieger,RM,82,82,30,United States,Right,76.0,60.0,76.0,72.0,81.0,81.0,12,5,6,12,9,2016,F
62,62,A. Krieger,CDM,82,82,30,United States,Right,76.0,60.0,76.0,72.0,81.0,81.0,12,5,6,12,9,2016,F
63,63,L. Holiday,CM,82,85,27,United States,Right,81.0,64.0,75.0,76.0,69.0,82.0,8,13,7,14,6,2016,F
64,64,L. Holiday,ST,82,85,27,United States,Right,81.0,64.0,75.0,76.0,69.0,82.0,8,13,7,14,6,2016,F
65,65,J. Johnston,RB,82,89,23,United States,Right,82.0,37.0,60.0,67.0,83.0,83.0,10,9,7,13,11,2016,F
66,66,J. Johnston,CB,82,89,23,United States,Right,82.0,37.0,60.0,67.0,83.0,83.0,10,9,7,13,11,2016,F
67,67,J. Johnston,RM,82,89,23,United States,Right,82.0,37.0,60.0,67.0,83.0,83.0,10,9,7,13,11,2016,F
68,68,K. Gorry,CM,82,82,22,Australia,Right,73.0,75.0,77.0,84.0,55.0,54.0,13,15,8,5,13,2016,F
69,69,K. Gorry,CAM,82,82,22,Australia,Right,73.0,75.0,77.0,84.0,55.0,54.0,13,15,8,5,13,2016,F
70,70,F. Williams,CM,82,82,31,England,Right,68.0,62.0,81.0,77.0,67.0,69.0,9,11,15,12,12,2016,F
71,71,F. Williams,CDM,82,82,31,England,Right,68.0,62.0,81.0,77.0,67.0,69.0,9,11,15,12,12,2016,F
72,72,S. Bouhaddi,GK,82,83,28,France,Left,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,85,78,75,81,85,2016,F
73,73,C. Abily,CDM,82,82,30,France,Right,62.0,63.0,73.0,72.0,77.0,79.0,13,8,6,15,14,2016,F
74,74,É. Thomis,RM,82,82,28,France,Right,91.0,71.0,78.0,82.0,52.0,63.0,11,11,10,13,15,2016,F
75,75,E. Le Sommer,ST,82,87,26,France,Right,79.0,86.0,63.0,73.0,32.0,64.0,15,7,11,10,12,2016,F
76,76,D. Matheson,CM,82,82,31,Canada,Right,62.0,72.0,80.0,80.0,56.0,61.0,14,9,12,5,15,2016,F
77,77,H. O'Reilly,RM,81,81,30,United States,Right,78.0,72.0,81.0,80.0,42.0,63.0,9,14,15,7,11,2016,F
78,78,M. Klingenberg,RB,81,84,26,United States,Right,78.0,46.0,61.0,72.0,82.0,73.0,10,6,6,12,13,2016,F
79,79,M. Klingenberg,LB,81,84,26,United States,Right,78.0,46.0,61.0,72.0,82.0,73.0,10,6,6,12,13,2016,F
80,80,Andressa Alves,LM,81,91,22,Brazil,Left,87.0,76.0,79.0,83.0,76.0,72.0,8,7,6,9,6,2016,F
81,81,Andressa Alves,LB,81,91,22,Brazil,Left,87.0,76.0,79.0,83.0,76.0,72.0,8,7,6,9,6,2016,F
82,82,Andressa Alves,RM,81,91,22,Brazil,Left,87.0,76.0,79.0,83.0,76.0,72.0,8,7,6,9,6,2016,F
83,83,Yang Li,ST,81,87,24,China PR,Right,87.0,81.0,66.0,81.0,27.0,67.0,9,15,8,9,6,2016,F
84,84,L. De Vanna,ST,81,81,30,Australia,Left,86.0,81.0,58.0,84.0,38.0,77.0,8,11,12,12,12,2016,F
85,85,L. De Vanna,RW,81,81,30,Australia,Left,86.0,81.0,58.0,84.0,38.0,77.0,8,11,12,12,12,2016,F
86,86,L. De Vanna,LW,81,81,30,Australia,Left,86.0,81.0,58.0,84.0,38.0,77.0,8,11,12,12,12,2016,F
87,87,L. Bronze,RB,81,88,23,England,Right,80.0,45.0,55.0,75.0,81.0,82.0,8,12,14,6,13,2016,F
88,88,L. Bronze,CB,81,88,23,England,Right,80.0,45.0,55.0,75.0,81.0,82.0,8,12,14,6,13,2016,F
89,89,K. Carney,RM,81,83,27,England,Right,79.0,69.0,79.0,85.0,31.0,47.0,14,7,12,6,8,2016,F
90,90,K. Carney,RW,81,83,27,England,Right,79.0,69.0,79.0,85.0,31.0,47.0,14,7,12,6,8,2016,F
91,91,A. Henry,CDM,81,84,25,France,Right,72.0,64.0,72.0,73.0,77.0,82.0,9,11,13,12,5,2016,F
92,92,W. Engen,CB,80,81,27,United States,Right,72.0,48.0,60.0,60.0,81.0,76.0,13,12,12,8,5,2016,F
93,93,A. Harris,GK,80,81,29,United States,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,81,76,77,82,80,2016,F
94,94,Vero Boquete,CAM,80,84,28,Spain,Right,79.0,77.0,77.0,78.0,64.0,74.0,15,12,7,9,10,2016,F
95,95,Vero Boquete,CM,80,84,28,Spain,Right,79.0,77.0,77.0,78.0,64.0,74.0,15,12,7,9,10,2016,F
96,96,L. Goeßling,CDM,80,80,29,Germany,Right,75.0,55.0,75.0,65.0,82.0,81.0,15,14,12,12,14,2016,F
97,97,L. Goeßling,CB,80,80,29,Germany,Right,75.0,55.0,75.0,65.0,82.0,81.0,15,14,12,12,14,2016,F
98,98,Li Dongna,CB,80,83,26,China PR,Right,62.0,42.0,42.0,59.0,83.0,80.0,12,10,11,12,7,2016,F
99,99,Li Dongna,CDM,80,83,26,China PR,Right,62.0,42.0,42.0,59.0,83.0,80.0,12,10,11,12,7,2016,F
100,100,H. Lindahl,GK,80,80,32,Sweden,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,82,74,76,75,83,2016,F
101,101,K. Bardsley,GK,80,80,30,England,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,75,81,82,79,77,2016,F
102,102,S. Bartusiak,CB,80,80,32,Germany,Right,62.0,39.0,45.0,60.0,83.0,74.0,11,11,8,13,8,2016,F
103,103,D. Scott,CDM,80,80,27,Canada,Right,70.0,55.0,71.0,70.0,76.0,82.0,11,15,14,8,13,2016,F
104,104,Formiga,CM,79,79,37,Brazil,Right,70.0,73.0,71.0,77.0,81.0,82.0,7,8,12,9,14,2016,F
105,105,Formiga,CDM,79,79,37,Brazil,Right,70.0,73.0,71.0,77.0,81.0,82.0,7,8,12,9,14,2016,F
106,106,Ren Guixin,CM,79,81,26,China PR,Right,78.0,72.0,77.0,79.0,63.0,65.0,12,14,13,11,9,2016,F
107,107,Wu Haiyan,RB,79,85,22,China PR,Right,80.0,42.0,70.0,73.0,78.0,73.0,5,12,13,11,7,2016,F
108,108,Wu Haiyan,CB,79,85,22,China PR,Right,80.0,42.0,70.0,73.0,78.0,73.0,5,12,13,11,7,2016,F
109,109,Wu Haiyan,LB,79,85,22,China PR,Right,80.0,42.0,70.0,73.0,78.0,73.0,5,12,13,11,7,2016,F
110,110,B. Peter,CB,79,81,27,Germany,Left,69.0,44.0,64.0,60.0,80.0,76.0,9,9,13,11,11,2016,F
111,111,B. Peter,LB,79,81,27,Germany,Left,69.0,44.0,64.0,60.0,80.0,76.0,9,9,13,11,11,2016,F
112,112,E. Kellond-Knight,CDM,79,84,24,Australia,Left,70.0,45.0,74.0,68.0,78.0,81.0,7,13,7,6,9,2016,F
113,113,E. Kellond-Knight,LB,79,84,24,Australia,Left,70.0,45.0,74.0,68.0,78.0,81.0,7,13,7,6,9,2016,F
114,114,S. Kerr,ST,79,88,21,Australia,Right,83.0,78.0,56.0,75.0,37.0,70.0,5,10,6,14,11,2016,F
115,115,S. Kerr,LW,79,88,21,Australia,Right,83.0,78.0,56.0,75.0,37.0,70.0,5,10,6,14,11,2016,F
116,116,S. Kerr,RW,79,88,21,Australia,Right,83.0,78.0,56.0,75.0,37.0,70.0,5,10,6,14,11,2016,F
117,117,E. Aluko,ST,79,79,28,England,Right,90.0,79.0,62.0,82.0,31.0,65.0,9,10,10,15,11,2016,F
118,118,M. Delie,ST,79,79,27,France,Right,86.0,79.0,71.0,79.0,28.0,64.0,10,11,9,9,11,2016,F
119,119,M. Behringer,LM,78,78,29,Germany,Right,69.0,83.0,80.0,73.0,68.0,88.0,14,8,5,15,13,2016,F
120,120,M. Behringer,RM,78,78,29,Germany,Right,69.0,83.0,80.0,73.0,68.0,88.0,14,8,5,15,13,2016,F
121,121,M. Behringer,CM,78,78,29,Germany,Right,69.0,83.0,80.0,73.0,68.0,88.0,14,8,5,15,13,2016,F
122,122,Liu Shanshan,LB,78,81,23,China PR,Left,77.0,39.0,66.0,67.0,80.0,73.0,10,5,14,7,6,2016,F
123,123,Liu Shanshan,CB,78,81,23,China PR,Left,77.0,39.0,66.0,67.0,80.0,73.0,10,5,14,7,6,2016,F
124,124,Wang Fei,GK,78,83,25,China PR,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,83,70,73,76,80,2016,F
125,125,S. Jakobsson,ST,78,81,25,Sweden,Right,86.0,76.0,68.0,72.0,24.0,76.0,7,8,8,5,8,2016,F
126,126,S. Jakobsson,RM,78,81,25,Sweden,Right,86.0,76.0,68.0,72.0,24.0,76.0,7,8,8,5,8,2016,F
127,127,H. Folkesson,CM,78,81,26,Sweden,Right,81.0,64.0,73.0,74.0,72.0,67.0,6,13,8,6,7,2016,F
128,128,S. Catley,LB,78,89,21,Australia,Left,74.0,65.0,68.0,67.0,78.0,74.0,12,6,13,7,6,2016,F
129,129,S. Catley,CB,78,89,21,Australia,Left,74.0,65.0,68.0,67.0,78.0,74.0,12,6,13,7,6,2016,F
130,130,T. Duggan,ST,78,85,23,England,Right,72.0,78.0,65.0,76.0,36.0,74.0,11,14,13,10,11,2016,F
131,131,T. Duggan,CAM,78,85,23,England,Right,72.0,78.0,65.0,76.0,36.0,74.0,11,14,13,10,11,2016,F
132,132,J. Houara-D'Hommeaux,RB,78,78,27,France,Right,83.0,50.0,71.0,71.0,76.0,72.0,6,10,8,8,14,2016,F
133,133,J. Houara-D'Hommeaux,LB,78,78,27,France,Right,83.0,50.0,71.0,71.0,76.0,72.0,6,10,8,8,14,2016,F
134,134,L. Boulleau,LB,78,78,28,France,Left,85.0,47.0,70.0,73.0,75.0,73.0,11,8,12,9,11,2016,F
135,135,S. Delannoy,CB,78,78,29,France,Right,75.0,37.0,61.0,60.0,80.0,75.0,6,8,8,15,15,2016,F
136,136,S. Delannoy,RB,78,78,29,France,Right,75.0,37.0,61.0,60.0,80.0,75.0,6,8,8,15,15,2016,F
137,137,M. Tancredi,ST,78,78,33,Canada,Right,80.0,81.0,69.0,72.0,41.0,81.0,6,8,5,15,11,2016,F
138,138,M. Tancredi,LW,78,78,33,Canada,Right,80.0,81.0,69.0,72.0,41.0,81.0,6,8,5,15,11,2016,F
139,139,A. Schult,GK,77,82,24,Germany,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,79,72,78,82,75,2016,F
140,140,J. Henning,CB,77,81,25,Germany,Right,57.0,44.0,50.0,49.0,80.0,78.0,6,7,7,12,6,2016,F
141,141,J. Cramer,LB,77,83,22,Germany,Left,76.0,56.0,78.0,77.0,74.0,64.0,10,11,14,6,14,2016,F
142,142,J. Cramer,LM,77,83,22,Germany,Left,76.0,56.0,78.0,77.0,74.0,64.0,10,11,14,6,14,2016,F
143,143,J. Cramer,CM,77,83,22,Germany,Left,76.0,56.0,78.0,77.0,74.0,64.0,10,11,14,6,14,2016,F
144,144,B. Schmidt,RB,77,80,25,Germany,Right,74.0,51.0,67.0,61.0,81.0,81.0,6,13,12,10,13,2016,F
145,145,M. Brian,CM,77,83,22,United States,Right,75.0,67.0,73.0,74.0,74.0,76.0,6,5,7,9,8,2016,F
146,146,M. Leupolz,RM,77,85,21,Germany,Right,78.0,70.0,75.0,81.0,41.0,64.0,13,13,9,10,6,2016,F
147,147,M. Leupolz,CM,77,85,21,Germany,Right,78.0,70.0,75.0,81.0,41.0,64.0,13,13,9,10,6,2016,F
148,148,M. Leupolz,CDM,77,85,21,Germany,Right,78.0,70.0,75.0,81.0,41.0,64.0,13,13,9,10,6,2016,F
149,149,M. Leupolz,LM,77,85,21,Germany,Right,78.0,70.0,75.0,81.0,41.0,64.0,13,13,9,10,6,2016,F
150,150,M. Domínguez,ST,77,77,36,Mexico,Left,64.0,79.0,58.0,74.0,31.0,56.0,6,6,13,8,11,2016,F
151,151,Bruna Benites,CB,77,77,29,Brazil,Right,61.0,48.0,47.0,59.0,77.0,77.0,12,11,6,5,11,2016,F
152,152,Luciana,GK,77,80,27,Brazil,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,76,75,80,83,77,2016,F
153,153,Debinha,RM,77,84,23,Brazil,Right,86.0,73.0,72.0,82.0,40.0,57.0,7,6,8,6,11,2016,F
154,154,Debinha,ST,77,84,23,Brazil,Right,86.0,73.0,72.0,82.0,40.0,57.0,7,6,8,6,11,2016,F
155,155,Wang Lisi,RM,77,84,23,China PR,Right,82.0,75.0,74.0,81.0,41.0,73.0,6,11,10,11,14,2016,F
156,156,Wang Lisi,ST,77,84,23,China PR,Right,82.0,75.0,74.0,81.0,41.0,73.0,6,11,10,11,14,2016,F
157,157,Wang Lisi,CAM,77,84,23,China PR,Right,82.0,75.0,74.0,81.0,41.0,73.0,6,11,10,11,14,2016,F
158,158,T. Kemme,LB,77,84,23,Germany,Right,56.0,47.0,69.0,73.0,81.0,76.0,6,15,11,13,9,2016,F
159,159,T. Kemme,CB,77,84,23,Germany,Right,56.0,47.0,69.0,73.0,81.0,76.0,6,15,11,13,9,2016,F
160,160,L. Dahlkvist,CM,77,77,28,Sweden,Right,59.0,62.0,75.0,70.0,76.0,78.0,15,6,15,14,8,2016,F
161,161,E. van Egmond,CM,77,86,21,Australia,Right,60.0,70.0,72.0,69.0,65.0,81.0,9,12,7,13,14,2016,F
162,162,E. van Egmond,CAM,77,86,21,Australia,Right,60.0,70.0,72.0,69.0,65.0,81.0,9,12,7,13,14,2016,F
163,163,K. Simon,ST,77,82,24,Australia,Right,84.0,78.0,48.0,77.0,40.0,67.0,6,7,7,10,11,2016,F
164,164,Sonia Bermúdez,LM,77,77,30,Spain,Left,77.0,75.0,76.0,78.0,42.0,55.0,8,12,11,7,6,2016,F
165,165,Sonia Bermúdez,CF,77,77,30,Spain,Left,77.0,75.0,76.0,78.0,42.0,55.0,8,12,11,7,6,2016,F
166,166,A. Scott,RB,77,77,30,England,Right,77.0,35.0,56.0,65.0,77.0,68.0,7,5,12,9,15,2016,F
167,167,L. Maier,RB,77,84,22,Germany,Right,78.0,57.0,68.0,77.0,76.0,66.0,11,14,10,7,14,2016,F
168,168,L. Maier,LB,77,84,22,Germany,Right,78.0,57.0,68.0,77.0,76.0,66.0,11,14,10,7,14,2016,F
169,169,L. Benkarth,GK,77,84,22,Germany,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,81,77,83,73,79,2016,F
170,170,É. Bussaglia,CDM,77,77,29,France,Right,64.0,65.0,70.0,73.0,76.0,77.0,13,6,13,8,6,2016,F
171,171,R. Wilkinson,RB,77,77,33,Canada,Right,80.0,41.0,60.0,67.0,78.0,74.0,10,10,9,6,13,2016,F
172,172,L. Petermann,ST,77,84,21,Germany,Right,72.0,78.0,57.0,73.0,32.0,71.0,15,14,7,14,8,2016,F
173,173,A. Popp,LM,76,81,24,Germany,Right,80.0,85.0,67.0,76.0,32.0,79.0,10,12,11,5,12,2016,F
174,174,A. Popp,ST,76,81,24,Germany,Right,80.0,85.0,67.0,76.0,32.0,79.0,10,12,11,5,12,2016,F
175,175,A. Popp,CAM,76,81,24,Germany,Right,80.0,85.0,67.0,76.0,32.0,79.0,10,12,11,5,12,2016,F
176,176,A. Rodriguez,ST,76,76,28,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2016,F
177,177,A. Rodriguez,RW,76,76,28,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2016,F
178,178,A. Rodriguez,LW,76,76,28,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2016,F
179,179,A. Rodriguez,CAM,76,76,28,United States,Right,78.0,78.0,46.0,74.0,32.0,75.0,5,6,12,11,10,2016,F
180,180,A. Naeher,GK,76,79,27,United States,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,74,74,72,78,76,2016,F
181,181,Fabiana,RB,76,80,26,Brazil,Right,81.0,60.0,71.0,76.0,73.0,73.0,10,15,12,11,6,2016,F
182,182,Maurine,RM,76,76,29,Brazil,Right,84.0,71.0,74.0,78.0,68.0,58.0,7,14,14,12,12,2016,F
183,183,Maurine,RB,76,76,29,Brazil,Right,84.0,71.0,74.0,78.0,68.0,58.0,7,14,14,12,12,2016,F
184,184,Han Peng,RM,76,79,25,China PR,Right,84.0,72.0,73.0,79.0,45.0,55.0,15,12,9,13,13,2016,F
185,185,Han Peng,LM,76,79,25,China PR,Right,84.0,72.0,73.0,79.0,45.0,55.0,15,12,9,13,13,2016,F
186,186,Zhao Rong,CB,76,82,23,China PR,Right,73.0,51.0,62.0,62.0,79.0,74.0,5,13,6,14,9,2016,F
187,187,Zhao Rong,CDM,76,82,23,China PR,Right,73.0,51.0,62.0,62.0,79.0,74.0,5,13,6,14,9,2016,F
188,188,Zhao Rong,CAM,76,82,23,China PR,Right,73.0,51.0,62.0,62.0,79.0,74.0,5,13,6,14,9,2016,F
189,189,L. Sembrant,CB,76,78,28,Sweden,Right,55.0,28.0,55.0,67.0,77.0,74.0,12,13,13,6,13,2016,F
190,190,L. Sembrant,CM,76,78,28,Sweden,Right,55.0,28.0,55.0,67.0,77.0,74.0,12,13,13,6,13,2016,F
191,191,C. Foord,RW,76,87,20,Australia,Right,87.0,69.0,68.0,75.0,64.0,64.0,10,14,10,10,11,2016,F
192,192,C. Foord,RB,76,87,20,Australia,Right,87.0,69.0,68.0,75.0,64.0,64.0,10,14,10,10,11,2016,F
193,193,C. Polkinghorne,CB,76,81,26,Australia,Right,57.0,32.0,59.0,53.0,76.0,76.0,14,11,13,7,11,2016,F
194,194,M. Heyman,ST,76,79,26,Australia,Right,75.0,77.0,59.0,77.0,42.0,69.0,13,8,15,14,11,2016,F
195,195,Jenni Hermoso,CAM,76,80,25,Spain,Left,76.0,74.0,68.0,72.0,40.0,64.0,11,11,14,11,12,2016,F
196,196,Jenni Hermoso,CM,76,80,25,Spain,Left,76.0,74.0,68.0,72.0,40.0,64.0,11,11,14,11,12,2016,F
197,197,Jenni Hermoso,ST,76,80,25,Spain,Left,76.0,74.0,68.0,72.0,40.0,64.0,11,11,14,11,12,2016,F
198,198,Marta Corredera,RM,76,81,23,Spain,Right,79.0,72.0,73.0,77.0,33.0,59.0,5,15,13,15,6,2016,F
199,199,Marta Corredera,RW,76,81,23,Spain,Right,79.0,72.0,73.0,77.0,33.0,59.0,5,15,13,15,6,2016,F
200,200,Marta Corredera,LM,76,81,23,Spain,Right,79.0,72.0,73.0,77.0,33.0,59.0,5,15,13,15,6,2016,F
201,201,J. Nobbs,CM,76,82,22,England,Right,73.0,58.0,72.0,76.0,61.0,67.0,7,12,11,14,15,2016,F
202,202,J. Nobbs,RM,76,82,22,England,Right,73.0,58.0,72.0,76.0,61.0,67.0,7,12,11,14,15,2016,F
